2026-09-16 11:53:09,776 | session=zKx-GAWarYIBukyfBl9d70_h | lang=en | geo=no | user='hi netcare i need hospitals around nelspruit' | bot='Hello! I’m your Netcare help assistant. I can make the healthcare journey easier by helping you with appointments, MyNetcare Online, pre-admission, hospitals, emergency information, contacts and frequently asked questions. What would you like to do?'
2026-09-16 13:08:15,929 | session=t-MhS68NaM27n89RkaOtuv1I | lang=st | geo=yes | user='ke batla ngaka ya maahlo' | bot='Ha ke a utlwisisa seo, mme ha ke batle ho hakanya. Leka ho bolela profinse, sepetlele, kapa mofuta wa ngaka.'
2026-09-16 13:08:44,020 | session=t-MhS68NaM27n89RkaOtuv1I | lang=st | geo=yes | user='ke batla setsibi' | bot='Ha ke a utlwisisa seo, mme ha ke batle ho hakanya. Leka ho bolela profinse, sepetlele, kapa mofuta wa ngaka.'
2026-09-16 13:09:16,147 | session=t-MhS68NaM27n89RkaOtuv1I | lang=en | geo=yes | user='Netcare hospitals in Gauteng' | bot='28 Netcare facilities in Gauteng\n\nNetcare Akasia Hospital — Cnr Heinrich & Brits Avenue, Karen Park Ext 25, Akasia, Pretoria, 0118\n012 522 1000\n\nNetcare Alberton Hospital — 1 Netcare Avenue, Newmarket Precinct, Alberton, 1450\n011 742 3000\n\nNetcare Constantia Day Clinic — 374 Ontdekkers Road, cnr Christiaan de Wet, Florida Hills, Roodepoort, 1709\n011 472 1478\n\nNetcare Femina Hospital — 460 Belvedere Street, Arcadia, Pretoria, 0007\n012 304 1700\n\nNetcare Garden City Hospital — 35 Bartlett Road, May'
2026-09-16 13:09:40,067 | session=t-MhS68NaM27n89RkaOtuv1I | lang=en | geo=yes | user='Find a cardiologist in Cape Town' | bot="Cardiologist — Cape Town\n\nI do not have a verified cardiologist on file for Cape Town, and I do not want to guess a doctor's name. Netcare's specialist search below has the current list; appointmed can also match you to one and book the appointment, free of charge.\n\nNetcare hospitals in the area:\nNetcare Blaauwberg Hospital — Cape Town\nNetcare Christiaan Barnard Memorial Hospital — Cape Town\nNetcare Kuils River Hospital — Cape Town\nNetcare N1 City Hospital — Cape Town\nNetcare UCT Private Academi"
2026-09-16 13:10:20,854 | session=t-MhS68NaM27n89RkaOtuv1I | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:16:24,376 | session=3fWtnJxF8UQBl35DVqq-Nji0 | lang=af | geo=yes | user='Netcare hospitale in Gauteng' | bot='28 Netcare fasiliteite in Gauteng\n\nNetcare Akasia Hospital — Cnr Heinrich & Brits Avenue, Karen Park Ext 25, Akasia, Pretoria, 0118\n012 522 1000\n\nNetcare Alberton Hospital — 1 Netcare Avenue, Newmarket Precinct, Alberton, 1450\n011 742 3000\n\nNetcare Constantia Day Clinic — 374 Ontdekkers Road, cnr Christiaan de Wet, Florida Hills, Roodepoort, 1709\n011 472 1478\n\nNetcare Femina Hospital — 460 Belvedere Street, Arcadia, Pretoria, 0007\n012 304 1700\n\nNetcare Garden City Hospital — 35 Bartlett Road, Ma'
2026-09-16 13:16:53,015 | session=ONKingS2DumeJQ0IRNOt5cA- | lang=af | geo=yes | user='hospitale naby my' | bot='Die 5 Netcare fasiliteite die naaste aan jou\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (ongeveer 1.0 km weg)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (ongeveer 1.1 km weg)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (ongeveer 2.3 km weg)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (ongeveer 3.0 km weg)\n011 489 '
2026-09-16 13:17:14,618 | session=ONKingS2DumeJQ0IRNOt5cA- | lang=af | geo=yes | user='menu' | bot="Hallo. Ek is die Netcare Hulpassistent. Sê “Hallo Netcare” een keer om 'n stemgesprek te begin, of tik net. Ek kan hospitale naby jou vind, hulle per provinsie lys, en verduidelik hoe besprekings en opnames werk."
2026-09-16 13:17:24,081 | session=g01wu-niHpZqz_AobItOvOOu | lang=af | geo=yes | user='menu' | bot="Hallo. Ek is die Netcare Hulpassistent. Sê “Hallo Netcare” een keer om 'n stemgesprek te begin, of tik net. Ek kan hospitale naby jou vind, hulle per provinsie lys, en verduidelik hoe besprekings en opnames werk."
2026-09-16 13:23:43,788 | session=xzae76r7fgSoyAlglcI2-hf0 | lang=zu | geo=yes | user='menu' | bot='Sawubona. Ngingumsizi weNetcare. Yithi “Sawubona Netcare” kanye ukuze uqale ingxoxo yezwi, noma uthayiphe nje. Ngingathola izibhedlela eduze kwakho, ngizibale ngesifundazwe, futhi ngichaze ukuthi ukubhuka nokwamukelwa kusebenza kanjani.'
2026-09-16 13:23:45,477 | session=xzae76r7fgSoyAlglcI2-hf0 | lang=zu | geo=yes | user='Ngibhuka kanjani i-apoyintimenti?' | bot="Ear, nose and throat (ENT) surgeon\n\nVerified in Netcare's records:\nDr Sebenele Maseko — Ear, nose and throat (ENT) surgeon — Netcare Waterfall City Hospital.\nDr Tercia Tsakani Nkuna-Shilenge — Ear, nose and throat (ENT) surgeon — Netcare Waterfall City Hospital."
2026-09-16 13:24:19,520 | session=xzae76r7fgSoyAlglcI2-hf0 | lang=st | geo=yes | user='menu' | bot='Dumela. Ke Mothusi wa Netcare. Re “Dumela Netcare” hang ho qala moqoqo wa lentswe, kapa o ngole feela. Nka fumana dipetlele tse haufi le wena, ka di thathamisa ka profinse, mme ka hlalosa hore ho beha letsatsi le ho amohelwa ho sebetsa jwang.'
2026-09-16 13:24:23,700 | session=AdGYW5gKNT-jzllUS4JadykO | lang=st | geo=yes | user='Fumana ngaka ya pelo Cape Town' | bot='Tshohanyetso le trauma\n\nLetsetsa Netcare 911 ho 082 911 hona jwale. Ba araba dihora tse 24, ba romela diambulense le difofane, mme ba o supisa lefapheng la tshohanyetso le haufi.\n\nHa o hloke kopano, lengolo la tsamaiso kapa medical aid ho bonwa lefapheng la tshohanyetso. Bakudi ba bonwa ho ya ka bohlokwa ba boemo ba bona.'
2026-09-16 13:24:51,049 | session=AdGYW5gKNT-jzllUS4JadykO | lang=en | geo=yes | user='netcare close to alberton?' | bot='I’m sorry, I don’t want to guess about your health or give you the wrong Netcare information. I can help with appointments, MyNetcare Online, hospital pre-admission, Netcare 911, finding services, billing contacts, FAQs and other Netcare website navigation. Tell me what you are trying to do and I’ll guide you step by step.'
2026-09-16 13:25:03,713 | session=AdGYW5gKNT-jzllUS4JadykO | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:25:45,653 | session=AdGYW5gKNT-jzllUS4JadykO | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:25:47,332 | session=AdGYW5gKNT-jzllUS4JadykO | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:25:53,242 | session=1GGOtxN5yPu6UhVyRw8pCxj0 | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:26:30,703 | session=1GGOtxN5yPu6UhVyRw8pCxj0 | lang=en | geo=yes | user='specialist around western cape' | bot="Finding a specialist — Western Cape\n\nNetcare's specialist directory filters by discipline and by area, and shows each doctor's practice, hospital and contact number. Appointmed will then book the appointment for you free of charge on 0860 555 565.\n\nNetcare hospitals in the area:\nNetcare Blaauwberg Hospital — Cape Town\nNetcare Christiaan Barnard Memorial Hospital — Cape Town\nNetcare Kuils River Hospital — Cape Town\nNetcare N1 City Hospital — Cape Town\nNetcare UCT Private Academic Hospital — Cape "
2026-09-16 13:27:39,459 | session=1GGOtxN5yPu6UhVyRw8pCxj0 | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
2026-09-16 13:28:20,847 | session=XND67O2mlNLVx5PwR41O3-h0 | lang=en | geo=yes | user='hospitals near me' | bot='The 5 Netcare facilities closest to you\n\nNetcare Park Lane Hospital — Cnr Junction Avenue & Park Lane, Parktown, Johannesburg, 2193 (about 1.0 km away)\n011 480 4000\n\nNetcare Rand Hospital — 33 Bruce Street, Johannesburg CBD, 2000 (about 1.1 km away)\n011 644 2700\n\nNetcare Milpark Hospital — 9 Guild Road, Parktown West, Johannesburg, 2193 (about 2.3 km away)\n011 480 5600\n\nNetcare Rehabilitation Hospital — 28 Canary Street, Auckland Park, Johannesburg, 2006 (about 3.0 km away)\n011 489 1111\n\nNetcare'
